timestamp,value,measurement_type,axis,axis_label
2024-06-04 14:08:31+00:00,0.008219800889492035,acceleration,z,vertical
2024-06-04 14:18:31+00:00,0.006358819082379341,acceleration,x,axial
2024-06-04 14:18:31+00:00,0.008352275937795639,acceleration,y,horizontal
2024-06-04 14:18:31+00:00,0.008701869286596775,acceleration,z,vertical
2024-06-04 14:28:31+00:00,0.006452021189033985,acceleration,x,axial
2024-06-04 14:28:31+00:00,0.008285952731966972,acceleration,y,horizontal
2024-06-04 14:28:31+00:00,0.008120987564325333,acceleration,z,vertical
2024-06-04 14:38:31+00:00,0.006615763064473867,acceleration,x,axial
2024-06-04 14:38:31+00:00,0.008492891676723957,acceleration,y,horizontal
2024-06-04 14:38:31+00:00,0.008487846702337265,acceleration,z,vertical
2024-06-04 14:48:31+00:00,0.0061355396173894405,acceleration,x,axial
2024-06-04 14:48:31+00:00,0.008330038748681545,acceleration,y,horizontal
2024-06-04 14:48:31+00:00,0.0081412922590971,acceleration,z,vertical
2024-06-04 14:58:31+00:00,0.14858365058898926,acceleration,x,axial
2024-06-04 14:58:31+00:00,0.09284524619579315,acceleration,y,horizontal
2024-06-04 14:58:31+00:00,0.14771921932697296,acceleration,z,vertical
2024-06-04 15:08:31+00:00,0.12559351325035095,acceleration,x,axial
2024-06-04 15:08:31+00:00,0.09710286557674408,acceleration,y,horizontal
2024-06-04 15:08:31+00:00,0.1303049772977829,acceleration,z,vertical
2024-06-04 15:18:31+00:00,0.11404738575220108,acceleration,x,axial
2024-06-04 15:18:31+00:00,0.10114750266075134,acceleration,y,horizontal
2024-06-04 15:18:31+00:00,0.12565085291862488,acceleration,z,vertical
2024-06-04 15:28:31+00:00,0.19647081196308136,acceleration,x,axial
2024-06-04 15:28:31+00:00,0.12094559520483017,acceleration,y,horizontal
2024-06-04 15:28:31+00:00,0.19241052865982056,acceleration,z,vertical
2024-06-04 15:38:31+00:00,0.09967752546072006,acceleration,x,axial
2024-06-04 15:38:31+00:00,0.11347948759794235,acceleration,y,horizontal
2024-06-04 15:38:31+00:00,0.11633490025997162,acceleration,z,vertical
2024-06-04 15:48:31+00:00,0.006445782259106636,acceleration,x,axial
2024-06-04 15:48:31+00:00,0.006778160575777292,acceleration,y,horizontal
2024-06-04 15:48:31+00:00,0.0078093805350363255,acceleration,z,vertical
2024-06-04 15:58:31+00:00,0.0064752972684800625,acceleration,x,axial
2024-06-04 15:58:31+00:00,0.006480605807155371,acceleration,y,horizontal
2024-06-04 15:58:31+00:00,0.00821148231625557,acceleration,z,vertical
2024-06-04 16:08:31+00:00,0.09817921370267868,acceleration,x,axial
2024-06-04 16:08:31+00:00,0.1314469575881958,acceleration,y,horizontal
2024-06-04 16:08:31+00:00,0.11515730619430542,acceleration,z,vertical
2024-06-04 16:18:31+00:00,0.10257317125797272,acceleration,x,axial
2024-06-04 16:18:31+00:00,0.13638223707675934,acceleration,y,horizontal
2024-06-04 16:18:31+00:00,0.11247982084751129,acceleration,z,vertical
2024-06-04 16:28:31+00:00,0.09771862626075745,acceleration,x,axial
2024-06-04 16:28:31+00:00,0.11421617120504379,acceleration,y,horizontal
2024-06-04 16:28:31+00:00,0.10519029945135117,acceleration,z,vertical
